objid,specobjid,class,run,rerun,camcol,field,ra,dec,redshift,dered_u,deVRad_u,psffwhm_u,extinction_u,dered_g,deVRad_g,psffwhm_g,extinction_g,dered_r,deVRad_r,psffwhm_r,extinction_r,dered_i,deVRad_i,psffwhm_i,extinction_i,dered_z,deVRad_z,psffwhm_z,extinction_z,u_g,g_r,r_i,i_z
1237650794606560113,4302086176897257472,STAR,1239,301,1,129,139.663254409751,-1.24676693273757,4.978358e-05,23.64833,0.3664582,1.658895,0.1320462,25.27549,0.1175497,1.413834,0.1028895,22.46034,0.2366592,1.292718,0.0711785,20.40548,0.0002338079,1.361794,0.05289325,18.9064,6.841079e-05,1.473183,0.03934286,-1.598009,2.846867,2.073143,1.512629
1237658425167119099,6033718591366647808,STAR,3015,301,6,347,166.030554126595,8.25100476889283,9.214479e-06,24.29315,0.02639673,1.341435,0.1323404,24.66308,2.644777,1.23561,0.1031188,22.60075,0.1244038,1.166508,0.07133709,20.06271,0.002793198,1.140702,0.0530111,18.49483,0.0002019429,1.218661,0.03943052,-0.3407059,2.09411,2.55637,1.581461
1237665128538899426,5205039211930210304,STAR,4576,301,4,371,171.058781716267,34.4005482274975,2.636495e-05,25.45216,0.00249581,1.158004,0.09090121,24.03227,1.36946,1.107612,0.07082961,22.48253,0.0003125467,1.108075,0.04899959,19.63507,0.01629802,0.9435566,0.03641195,18.12771,0.08946869,0.9632047,0.0270838,1.43996,1.571573,2.86005,1.516682
1237666433652557137,8540123812234285056,STAR,4880,301,3,73,338.439317262302,22.5642305729766,0.0001643075,23.81981,0.0002766204,1.062258,0.2104068,24.03479,0.09755797,1.04507,0.1639476,22.4847,0.07867629,0.9323499,0.1134182,21.02134,0.02968414,0.8514232,0.08428186,19.93133,0.25338,0.8552017,0.06269022,-0.1685257,1.600624,1.492498,1.111595
1237680302103725301,8541338772515868672,STAR,8109,301,3,100,338.554634670772,24.5629294541385,9.955763e-05,25.33398,0.02982436,1.478346,0.1870334,23.76287,0.8594684,1.711372,0.1457352,22.41754,0.07865385,1.159586,0.1008189,20.9486,0.0979236,1.154525,0.07491928,19.89226,0.05033654,1.087535,0.05572617,1.612406,1.390245,1.494841,1.075535
1237658200734106751,12004606077637513216,STAR,2963,301,4,27,125.58981234027,31.7306554131914,2.361568e-05,26.11034,0.08465626,1.110335,0.1777103,23.94961,0.1895866,1.256582,0.1384707,22.90041,0.04180535,0.9417491,0.09579338,20.6734,0.06021432,0.8875642,0.07118475,19.54071,0.1405699,0.9298652,0.05294837,2.199968,1.091877,2.251619,1.150925
1237661086957110428,12525646225834528768,STAR,3635,301,4,103,125.805980310597,25.3296534660506,3.925733e-05,24.58617,0.0001241283,1.291683,0.1248994,23.6609,0.0395526,1.224463,0.0973208,22.7276,0.6410298,1.048587,0.06732608,20.7141,0.1170033,0.8790657,0.05003049,19.6401,0.3209222,1.046846,0.03721349,0.9528484,0.9632931,2.030798,1.086811
1237661873490952669,5818867973360996352,STAR,3818,301,5,377,225.834665303156,37.666060810846,3.699402e-05,24.43647,0.1618787,1.093809,0.06924503,25.34847,0.003037561,1.045274,0.05395525,22.85406,0.07208342,0.9778677,0.03732599,20.33,0.02650504,0.9199511,0.02773721,18.62365,0.01471454,0.8601769,0.02063139,-0.8967075,2.511032,2.533653,1.713455
1237678889062695047,8818077048402890752,STAR,7780,301,3,149,37.1102233969571,-2.44025325933973,5.564557e-05,23.59865,0.03523722,1.205328,0.1094776,24.33373,0.329801,1.212636,0.08530421,22.50024,0.003223729,0.9000314,0.05901305,20.84461,0.04880059,0.8140395,0.04385302,19.7953,0.000972997,0.9320271,0.03261859,-0.710907,1.859785,1.670788,1.060539
1237680332171511343,8747183862613037056,STAR,8116,301,3,146,345.684488056056,28.1781869425725,2.419529e-06,25.44774,0.0310178,1.074537,0.2964919,23.70919,0.09252615,0.9553885,0.2310245,22.38752,0.001320848,0.8820001,0.1598217,20.61111,0.0002816876,0.765669,0.1187646,19.71471,0.0001889038,0.7526524,0.08833907,1.804022,1.392866,1.817472,0.9268227
