objid,specobjid,class,run,rerun,camcol,field,ra,dec,redshift,dered_u,deVRad_u,psffwhm_u,extinction_u,dered_g,deVRad_g,psffwhm_g,extinction_g,dered_r,deVRad_r,psffwhm_r,extinction_r,dered_i,deVRad_i,psffwhm_i,extinction_i,dered_z,deVRad_z,psffwhm_z,extinction_z,u_g,g_r,r_i,i_z
1237679504860906195,6.980794756130689e+18,GALAXY,7923,301,6,260,12.494967652453,20.8189787723054,0.5749237,26.06763,0.0003200237,1.5891,0.1259878,23.38371,0.2922226,1.568756,0.09816885,21.54708,0.5109551,1.467656,0.06791276,20.46802,1.327101,1.411784,0.05046646,19.84267,0.9533321,1.3203,0.03753777,2.711733,1.86689,1.096508,0.6382732
1237679540820181703,6.980832139526033e+18,GALAXY,7932,301,1,91,13.0130947044917,21.2130121239807,0.577791,25.79711,0.7808537,1.834949,0.1374067,22.73676,0.1995547,1.800555,0.1070664,21.18971,0.4561298,1.405094,0.07406802,19.94144,0.8029738,1.259006,0.05504048,19.32127,0.5323389,1.578293,0.04094001,3.090698,1.580046,1.267292,0.6342716
1237680315522351119,7.051761085918237e+18,GALAXY,8112,301,4,52,19.6678147664318,32.0065096413531,0.7032676,22.91337,0.2360058,1.597942,0.30012,23.32897,0.1522155,1.443134,0.2338514,20.9183,0.7764401,1.343305,0.1617773,19.86932,1.45611,1.204762,0.1202179,20.11542,0.2704955,1.206039,0.08942004,-0.349329,2.482744,1.090534,-0.2152977
1237656567041688821,1.038319200626464e+19,GALAXY,2583,301,1,115,320.242029783818,-1.0998543845797,0.8737089,24.02127,0.001469283,1.264702,0.2050951,22.15429,0.7138941,1.21192,0.1598087,21.67789,0.8854498,0.9743343,0.1105549,21.20509,0.2887968,0.8843311,0.08215416,21.14802,0.2941035,1.152874,0.06110761,1.912268,0.5256519,0.5012016,0.07811546
1237680241455464984,8.054735054361088e+18,GALAXY,8095,301,2,377,11.6930703335002,-8.23255842623014,0.493509,25.34484,0.07612523,1.719078,0.1551014,23.09771,0.5147713,1.3638,0.120854,20.94899,0.4498644,1.466869,0.08360622,19.98915,0.6047135,1.276476,0.06212838,19.53761,0.4514587,1.197015,0.0462121,2.281376,2.18597,0.9813156,0.4674587
1237680241993318909,8.055831261984608e+18,GALAXY,8095,301,3,392,13.9419146354063,-7.73898145160743,0.5068882,23.73556,0.001298343,1.418927,0.3469735,22.49492,0.1684501,1.352908,0.2703594,20.89004,0.5295077,1.135127,0.1870334,19.91941,0.5286193,1.09825,0.1389859,19.43406,1.045275,1.163772,0.1033799,1.317255,1.688208,1.018681,0.5209484
1237680242525864507,8.04908603242213e+18,GALAXY,8095,301,4,326,3.91342838711282,-7.33405479564929,0.1095387,22.82226,0.004055945,1.620916,0.1483113,21.40129,0.1894661,1.26063,0.1155632,21.50199,0.2360151,1.160028,0.07994607,21.21003,0.236009,1.16672,0.0594085,21.69153,0.4254386,1.248513,0.04418901,1.453726,-0.06508446,0.3124924,-0.4662743
1237680242528420697,8.05362784529628e+18,GALAXY,8095,301,4,365,9.82530466218063,-7.27811639701139,0.5791308,26.77983,4.565073e-05,1.587193,0.1966035,22.8735,0.005035458,1.511132,0.1531921,21.07155,1.23185,1.20059,0.1059776,20.04614,1.331913,1.177536,0.0787527,19.78793,0.1202631,1.301366,0.05857754,3.949743,1.849161,1.052641,0.2783833
1237680265075491016,8.049286968172106e+18,GALAXY,8100,301,6,342,3.32221088815818,-6.37210107941452,0.5556713,26.73151,0.07086781,1.570912,0.1301298,22.18392,0.2604986,1.628429,0.1013962,20.96581,1.158505,1.426409,0.07014544,19.93955,0.6786796,1.338764,0.05212558,19.38166,1.023871,1.538048,0.03877186,4.576319,1.249367,1.044281,0.5712433
1237651274027172299,1.054868253129286e+19,GALAXY,1350,301,6,51,113.064530572569,38.9395813120541,0.6997895,24.77297,0.002798478,1.626128,0.2459685,24.41862,0.02151813,1.342528,0.191657,21.48515,0.2741276,1.320554,0.1325874,20.34912,0.2758625,1.305763,0.09852666,19.69268,0.5881125,1.224678,0.07328574,0.4086666,2.992538,1.17009,0.6816826
