objid,specobjid,class,run,rerun,camcol,field,ra,dec,redshift,dered_u,deVRad_u,psffwhm_u,extinction_u,dered_g,deVRad_g,psffwhm_g,extinction_g,dered_r,deVRad_r,psffwhm_r,extinction_r,dered_i,deVRad_i,psffwhm_i,extinction_i,dered_z,deVRad_z,psffwhm_z,extinction_z,u_g,g_r,r_i,i_z
1237654654172398487,4278689668147728384,STAR,2137,301,6,142,120.40479946119,38.5538978213458,0.0006501252,24.2825,15.35072,1.477566,0.2012587,24.64522,0.006964663,1.460559,0.1568195,22.64815,0.02219792,1.140185,0.108487,19.87009,0.003631942,1.176505,0.08061745,18.83895,0.3183908,1.341059,0.05996457,-0.3182755,2.045401,2.805927,1.05179
1237657633799275726,8215729396616810496,STAR,2831,301,4,40,143.160838061516,49.4977420404635,6.931599e-05,24.91239,29.50361,1.045362,0.05300571,25.47109,6.968139e-05,1.057346,0.04130169,22.55547,0.1560857,0.8656105,0.02857232,20.76413,0.007076442,0.8781079,0.02123229,19.70393,0.1672236,0.9356738,0.01579292,-0.5469971,2.928347,1.798679,1.065636
1237663783667434124,4758188338103734272,STAR,4263,301,3,221,15.7659318091606,-0.360620902640844,3.096656e-06,24.39503,2.427763,1.046169,0.1673633,24.40227,0.4501658,1.088471,0.1304083,22.44234,0.1378346,0.7475415,0.09021586,19.93473,0.001132286,0.7693869,0.06704006,18.39487,0.009119298,0.9419946,0.04986548,0.02971268,2.00012,2.530785,1.557034
1237664290460861426,6053054603423141888,STAR,4381,301,3,27,174.444685946214,14.6575328102419,5.129392e-05,23.65739,0.009937113,1.142623,0.15075,24.34112,0.001777775,1.076387,0.1174634,22.4509,0.0230988,0.8553402,0.08126061,19.62805,0.03627437,0.7737276,0.06038534,18.18504,0.1129218,0.8786206,0.0449156,-0.6504498,1.92643,2.843721,1.458479
1237664668972876756,5138868402291757056,STAR,4469,301,4,302,157.238867559118,36.8376154902572,9.92284e-05,24.61386,0.02864436,1.368475,0.06889223,24.07528,6.378369,1.147187,0.05368036,22.62489,0.2100794,1.129922,0.03713582,20.10046,0.04440014,1.051743,0.02759589,18.5453,0.1340922,1.004724,0.02052628,0.5537853,1.466938,2.53397,1.562229
1237667211578573168,2554682618926884864,STAR,5061,301,4,74,125.053812792149,16.2403893979515,4.45341e-05,25.42894,0.02398,1.031481,0.1331633,24.09989,0.01094408,1.028561,0.10376,22.47655,0.4913471,0.7961619,0.07178067,19.93213,0.1250821,0.831963,0.05334073,18.39953,0.1042108,0.9035664,0.0396757,1.358452,1.655321,2.562866,1.546263
1237667537996678122,5070063713287163904,STAR,5137,301,4,83,125.593752808685,13.4774312094829,0.0002365066,24.67415,15.34482,1.558529,0.134886,24.08661,2.656944,1.453479,0.1051023,22.50213,0.4024877,1.218483,0.07270926,19.62434,0.000126508,1.129792,0.05403078,17.93635,0.07649938,1.275934,0.04018897,0.6173267,1.616871,2.896473,1.701832
1237667782813090468,5956029297244524544,STAR,5194,301,4,133,133.179629142761,14.5622964832398,0.0001914578,24.2511,0.1520397,1.176428,0.1321802,24.3378,0.001237269,1.210036,0.1029939,22.92359,0.02121694,0.9314185,0.07125071,20.10186,0.04385231,0.8325536,0.05294691,18.51747,0.1355159,1.043717,0.03938278,-0.05751419,1.44595,2.840034,1.597954
1237680331106222727,8685304979735728128,STAR,8116,301,1,275,7.69356215249951,28.7948174156585,0.0002181742,23.62457,19.12512,1.381811,0.1922778,23.17747,0.1218225,1.047975,0.1498215,22.46197,0.003610385,1.076599,0.1036459,20.82074,0.0004970203,1.023998,0.07701998,19.88163,0.2024928,1.049034,0.05728871,0.4895573,0.7616749,1.667856,0.9588394
1237660958103896825,12477313894959042560,STAR,3605,301,4,39,115.938269731626,20.1276481405946,0.0005952174,25.14297,0.001282021,1.394225,0.278881,23.05441,0.07852037,1.766579,0.2173022,22.36375,0.002869046,1.385752,0.1503286,20.66035,0.0761269,1.19643,0.1117103,19.81611,0.2756397,1.270449,0.08309193,2.150143,0.757637,1.742018,0.87286
