objid,specobjid,class,run,rerun,camcol,field,ra,dec,redshift,dered_u,deVRad_u,psffwhm_u,extinction_u,dered_g,deVRad_g,psffwhm_g,extinction_g,dered_r,deVRad_r,psffwhm_r,extinction_r,dered_i,deVRad_i,psffwhm_i,extinction_i,dered_z,deVRad_z,psffwhm_z,extinction_z,u_g,g_r,r_i,i_z,set,pred_class,prob_gal,prob_star
1237660961863304128,12008987911083282432,STAR,3606,301,3,59,132.614481973193,31.2157740268041,0.0001041136,25.49055,0.001917445,1.49629,0.1190815,24.2303,0.001847666,1.456604,0.09278748,22.41488,0.001259424,1.355631,0.06418995,20.81251,0.132728,1.195298,0.04770001,19.93706,0.1549431,1.166654,0.03548004,1.286541,1.844021,1.618856,0.8876667,TEST,STAR,0.40238586,0.5976141
1237680530276025705,8615471426466762752,STAR,8162,301,4,133,340.621522849708,28.1066186546807,4.257739e-05,25.1959,0.0004989975,0.8681984,0.2647581,23.16398,0.04157817,0.8545434,0.2062977,21.96471,0.1221202,0.8577952,0.1427158,20.49983,5.277651e-05,0.7273093,0.1060531,19.7481,0.003238311,0.7679834,0.07888406,2.090382,1.262854,1.501537,0.7789001,TEST,STAR,0.007690904,0.9923091
1237664093973119490,12523437032029310976,STAR,4335,301,5,134,129.909628597434,26.3209012124099,1.230753e-05,25.36053,0.03250971,1.34037,0.162515,23.57974,0.01872567,1.363885,0.1266306,22.00621,0.1531052,0.9412783,0.08760245,20.74558,0.05090422,0.957544,0.06509801,19.94096,8.690371e-05,1.146496,0.04842096,1.816666,1.61256,1.283134,0.8212986,TEST,STAR,0.014258511,0.9857415
1237674368067765032,4230149528685400064,STAR,6727,301,6,73,120.876596838109,35.2540836981973,0.0001046657,22.79981,0.2146092,1.315645,0.1847161,21.87817,0.1577954,1.127183,0.1439295,22.14902,0.0003470405,1.152292,0.09956978,22.32875,0.6125363,1.063697,0.07399102,22.22801,0.1521547,0.984675,0.05503573,0.9624233,-0.2264862,-0.1541576,0.1196976,TEST,STAR,0.006533908,0.9934661
1237678596998956596,10314550320160854016,STAR,7712,301,3,58,319.358705009214,1.695312745893,5.620374e-05,25.59233,0.001748919,1.482034,0.2662964,23.31636,0.003668508,1.35874,0.2074964,22.02286,0.1521156,1.072627,0.143545,20.76059,0.000565165,1.091525,0.1066693,19.81147,0.07008035,1.117133,0.07934239,2.334776,1.35745,1.299147,0.9764423,TEST,STAR,0.11632605,0.88367397
1237678617409159323,10324533341974712320,STAR,7717,301,1,197,340.232819126823,1.1669904300943,0.0001121631,24.60461,0.001361013,1.163766,0.3180672,24.33743,0.03142063,1.014323,0.2478358,22.17992,0.1277882,0.9278899,0.1714517,20.4585,0.09982966,0.8769913,0.127407,19.73626,0.0001731228,0.9334622,0.09476738,0.3374062,2.2339,1.765465,0.7548809,TEST,STAR,0.009601378,0.99039865
1237651190813492172,10547505500119126016,STAR,1331,301,3,71,116.672430953341,37.7297126914775,0.00025458,25.02486,0.0003965173,1.290909,0.2184225,23.47816,1.53706,1.28641,0.1701934,22.10488,0.3254046,1.170996,0.117739,20.90293,0.1129642,1.027944,0.08749268,19.80498,0.07882195,1.127277,0.06507848,1.594925,1.425739,1.232199,1.120358,TEST,GALAXY,0.815999,0.18400104
1237680305866343322,8673043225559453696,STAR,8110,301,2,169,349.956615887192,26.1876722658433,8.442861e-07,25.07518,0.001831763,1.456249,0.3619172,23.06726,0.2930988,1.327361,0.2820035,22.14005,0.002201118,0.9904698,0.1950887,20.19219,0.1144975,0.9678314,0.1449718,19.24782,5.959426e-05,1.056606,0.1078324,2.087839,1.01412,1.997976,0.9815102,TEST,STAR,0.005544425,0.99445564
1237678597559813086,8847482943456956416,STAR,7712,301,4,424,14.2418999639775,2.78862432321813,0.0001132393,23.65326,0.001400927,1.159903,0.1128097,23.61058,0.415308,1.140157,0.08790058,22.04294,0.103638,0.8952425,0.06080921,20.90473,0.107194,0.8571949,0.04518776,19.84514,0.2041458,0.9760557,0.03361139,0.06758118,1.594736,1.153831,1.071161,TEST,STAR,0.4531988,0.54680115
1237657628970648545,11588942028512448512,STAR,2830,301,3,89,122.59278821878,30.7370650549928,0.0002179563,24.77184,0.04100572,1.099951,0.1553825,23.77876,0.1895862,1.080485,0.121073,22.75779,0.2571227,0.9777122,0.08375773,20.72681,0.06397083,0.8875164,0.06224097,19.81269,0.09220163,0.8746927,0.04629584,1.02739,1.058279,2.052496,0.9300652,TEST,STAR,0.006042067,0.9939579
1237663543685021803,10298836105798373376,STAR,4207,301,4,204,334.953315951815,0.235109531982742,0.0001544589,24.22842,4.476554e-05,0.9760435,0.2915749,24.02905,0.1520935,0.9978005,0.2271932,22.31385,0.1004971,0.7794328,0.1571712,20.62988,0.06245348,0.6962665,0.116795,19.89729,0.0002820843,0.8494484,0.08687406,0.2637482,1.785221,1.72435,0.7625046,TEST,STAR,0.010691467,0.9893085
1237678882093662754,8839684376503799808,STAR,7778,301,6,306,358.39228242247,-1.36615822039004,0.0001656358,24.59598,0.1138291,1.121728,0.1193934,23.12432,0.0005523844,1.022908,0.09303052,22.04364,0.004481514,1.276039,0.06435809,20.67278,0.01051304,1.130463,0.04782495,19.89472,0.04900919,1.0586,0.03557298,1.498014,1.109354,1.387394,0.7903175,TEST,STAR,0.3213973,0.67860276
1237667113866494684,12493222728315457536,STAR,5038,301,6,50,132.917494808369,22.4116630493589,0.0002165289,23.59062,0.0004748721,1.177826,0.1452261,23.1714,1.281758,1.156252,0.1131592,22.03896,0.4895188,1.211494,0.078283,20.56428,0.1713231,1.19681,0.05817267,19.61505,0.0004938459,1.145614,0.04326978,0.4512844,1.167315,1.494789,0.9641342,TEST,STAR,0.12853207,0.8714679
1237672763904491575,8572651216437530624,STAR,6354,301,2,180,346.836083009347,22.2876299817922,3.764206e-05,23.9258,0.002576059,1.259976,0.796822,22.7695,0.1903382,1.238078,0.6208783,21.60201,0.2361092,1.097848,0.4295207,20.32039,0.1308885,1.008951,0.3191799,19.64831,0.0008582346,1.064798,0.2374112,1.332247,1.358843,1.391962,0.7538528,TEST,STAR,0.043888967,0.956111
1237663547440890307,8302563597449711616,STAR,4208,301,3,170,128.286897423554,56.206512905172,0.0005782818,21.87855,0.03688744,1.271078,0.2184371,21.80877,0.0001198945,1.339312,0.1702047,21.89862,0.1760984,1.099536,0.1177468,22.20495,0.0002395919,1.006186,0.08749851,21.59136,1.258409,1.063462,0.06508281,0.1180134,-0.03739357,-0.2760849,0.6360016,TEST,GALAXY,0.9771138,0.022886192
1237659120409182992,12283643713557909504,STAR,3177,301,5,259,247.277023232457,34.2385263888497,2.404575e-05,23.5926,0.3654476,1.526096,0.09033428,23.40465,0.03146211,1.579011,0.07038786,22.24815,0.0006797428,1.307753,0.04869399,20.53604,0.0003617755,1.340717,0.03618485,19.68391,0.08611569,1.316339,0.02691489,0.2078896,1.178198,1.724619,0.8613949,TEST,STAR,0.3815597,0.6184404
1237663788489966593,11995507348586385408,STAR,4264,301,4,79,114.770801403747,47.9082507491025,0.0001530884,24.33481,0.000253418,1.159269,0.4497398,24.72765,0.03840714,1.118659,0.3504342,22.42677,0.3135815,0.8909408,0.2424287,20.87643,0.006789797,0.8427541,0.1801506,19.79108,0.0002000269,1.022215,0.1339989,-0.2935333,2.408884,1.612619,1.131502,TEST,STAR,0.083358265,0.9166417
1237661957756158853,9258408924146847744,STAR,3838,301,2,18,195.374549961607,51.3780711463883,8.996043e-06,23.02184,1.534303,1.24536,0.02327212,23.49182,0.3764662,1.057114,0.01813348,22.2053,0.2804504,1.072079,0.01254466,20.70862,0.07311732,0.8805748,0.009322024,19.87434,0.1390666,0.8041774,0.006933873,-0.464838,1.292103,1.499901,0.8366756,TEST,STAR,0.06840564,0.9315943
1237678847179096693,12741913015605284864,STAR,7770,301,5,32,316.971720176235,7.19857909214177,7.847299e-05,24.77927,0.002801559,1.227468,0.3334585,24.15513,0.0006444927,1.238375,0.2598286,21.87932,0.0005370364,1.110873,0.1797482,20.5386,0.3784931,1.16672,0.1335722,19.87234,0.4344866,1.096938,0.09935316,0.6977692,2.355898,1.386889,0.7004776,TEST,GALAXY,0.9903797,0.00962035
1237678906242433853,12715022260798509056,STAR,7784,301,3,147,352.467410522193,9.43560363640381,0.0001737689,25.31534,1.947871,1.252751,0.1841299,23.90678,0.1895158,1.226063,0.1434728,21.97152,0.0004395156,0.951664,0.09925379,20.65398,0.09801351,0.8927931,0.0737562,19.8631,0.2406392,0.9452286,0.05486107,1.449223,1.979471,1.343039,0.8097801,TEST,STAR,0.012345597,0.9876544
1237678893349602137,8692086230081622016,STAR,7781,301,3,26,13.1022940637257,34.3864475523232,0.0001364929,23.21101,0.3417495,1.130082,0.3825602,23.7404,0.3025756,1.167111,0.2980883,22.21789,0.06459963,0.9142559,0.2062161,20.70321,0.1481088,0.8230961,0.1532407,19.84065,0.1303963,0.8994317,0.1139829,-0.444912,1.614376,1.567659,0.9018192,TEST,STAR,0.16578925,0.83421075
1237661137420616514,9966544990305013760,STAR,3647,301,2,67,147.407131028266,35.4076832033521,9.725914e-05,23.19297,0.07668636,1.519493,0.04136777,23.25696,0.001712989,1.682522,0.03223349,22.21163,0.152128,1.358793,0.02229898,20.98594,0.2344915,1.367675,0.01657053,19.8985,0.08998158,1.356286,0.01232543,-0.05485535,1.055267,1.231422,1.091682,TEST,GALAXY,0.9670475,0.032952532
